ID,IP/CIDR,Scanner Name,Scanner Type,Source File,Country Code,Country Name,ISP,Organization,Abuse Confidence Score,Abuse Reports,Usage Type,Domain,Last Seen,First Seen,Tags,Notes,Risk Level,Export Date
scanner_40,45.79.190.216,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_41,66.175.208.166,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_42,69.164.207.173,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_43,69.164.213.157,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_44,96.126.117.80,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_45,97.107.140.120,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_46,185.200.118.32,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_47,185.200.118.34,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_48,185.200.118.35,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_49,185.200.118.36,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_50,185.200.118.37,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_51,185.200.118.38,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_52,185.200.118.39,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_53,185.200.118.40,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_54,185.200.118.41,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_55,185.200.118.42,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_56,185.200.118.43,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_57,185.200.118.44,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_58,185.200.118.45,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_59,185.200.118.46,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_60,185.200.118.47,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_61,185.200.118.48,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_62,185.200.118.49,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_63,185.200.118.50,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_64,185.200.118.51,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_65,185.200.118.52,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_66,185.200.118.53,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_67,185.200.118.54,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_68,185.200.118.55,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_69,185.200.118.56,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_70,185.200.118.57,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_71,185.200.118.58,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_72,185.200.118.59,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_73,185.200.118.60,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_74,185.200.118.63,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_75,185.200.118.64,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_76,185.200.118.66,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_77,185.200.118.67,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_78,185.200.118.68,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_79,185.200.118.69,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_80,185.200.118.70,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_81,185.200.118.71,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_82,185.200.118.72,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_83,185.200.118.73,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_84,185.200.118.74,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_85,185.200.118.75,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_86,185.200.118.76,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_87,185.200.118.77,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_88,185.200.118.78,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_89,185.200.118.79,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_90,185.200.118.80,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_91,185.200.118.81,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_92,185.200.118.82,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_93,185.200.118.83,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_94,185.200.118.84,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_95,185.200.118.85,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_96,185.200.118.86,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_97,185.200.118.87,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_98,185.200.118.88,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_99,185.200.118.89,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_100,185.200.118.90,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_101,185.200.118.91,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_102,185.200.118.92,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_103,194.187.176.0/22,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_104,45.83.64.0/22,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_105,2a0e:7b84::/30,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_106,104.200.17.213,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_107,104.200.21.186,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_108,104.200.21.204,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_109,104.200.21.208,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_110,104.200.21.33,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_111,104.237.131.135,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_112,104.237.131.149,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_113,104.237.131.164,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_114,104.237.131.172,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_115,104.237.131.199,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_116,104.237.131.215,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_117,104.237.131.229,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_118,104.237.131.233,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_119,104.237.131.254,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_120,104.237.131.28,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_121,104.237.134.228,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_122,104.237.138.170,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_123,104.237.153.147,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_124,104.237.153.150,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
